scenario_id,capture_ms,ocr_extract_temporal_safety_ms,preflight_ms,transaction_ms,end_to_end_ms,environment
GF-DEMO-01,0.265,2505.782,0.849,1.638,2510.096,LOCAL WINDOWS SIMULATION
GF-DEMO-02,0.391,2200.299,0.971,2.032,2205.459,LOCAL WINDOWS SIMULATION
GF-DEMO-03,0.327,3.609,0.0,0.0,3.984,LOCAL WINDOWS SIMULATION
GF-DEMO-04,0.285,1993.064,0.0,0.0,1993.455,LOCAL WINDOWS SIMULATION
GF-DEMO-05,0.247,1839.074,0.706,1.346,1843.634,LOCAL WINDOWS SIMULATION
GF-DEMO-06,0.218,1831.116,0.673,1.571,1835.982,LOCAL WINDOWS SIMULATION
GF-DEMO-07,0.226,1842.572,0.796,2.311,1849.41,LOCAL WINDOWS SIMULATION
GF-DEMO-08,0.437,2558.566,0.833,2.204,2563.73,LOCAL WINDOWS SIMULATION
